Judas Priest,You've Got Another Thing Coming,V-Rock
Motley Crue,Too Young to Fall in Love,V-Rock
Megadeth,Peace Sells,V-Rock
Rockstar's Lovefist,Dangerous Bastard,V-Rock
Autograph,Turn Up the Radio,V-Rock
Twisted Sister,I Wanna Rock,V-Rock
Ozzy Osbourne,Bark At The Moon,V-Rock
Anthrax,Madhouse,V-Rock
Iron Maiden,2 Minutes to Midnight,V-Rock
Slayer,Raining Blood,V-Rock
Tesla,Comin' Atcha Live,V-Rock
David Lee Rose,Yankee Rose,V-Rock
Toto,Africa,Emotion 98.3
Jan Hammer,Crockett's Theme,Emotion 98.3
Cutting Crew,I Just) Died in Your Arms,Emotion 98.3
Foreigner,Waiting For a Girl Like You, Emotion 98.3
Mr. Mister,Broken Wings,Emotion 98.3
Roxy Music,More Than This,Emotion 98.3
Squeeze,Tempted,Emotion 98.3
REO Speedwagon,Keep on Loving You,Emotion 98.3
Night Ranger,Sister Christian,Emotion 98.3
Luther Vandross,Never Too Much,Emotion 98.3
Kate Bush,Wow,Emotion 98.3
Hall & Oates,Out of Touch,Flash FM
Electric Light Orchestra,Four Little Diamonds,Flash FM
Michael Jackson,Billie Jean,Flash FM
The Outfield,Your Love,Flash FM
Talk Talk,Life's What You Make It,Flash FM
Bryan Adams,Run to You,Flash FM
Wang Chung,Dance Hall Days,Flash FM
Go West,Call Me,Flash FM
Lionel Richie,Running With the Night,Flash FM
Laura Branigan,Self Control,Flash FM
INXS,Kiss the Dirt Falling Down the Mountain),Flash FM
Yes,Owner of a Lonely Heart,Flash FM
